Ações por Índice
Dados de 1 a 4 de 2022
Empresa;Código;Índices dos quais participa
FII RBR PCRI;CI;RBRY11;IFIX;
FII RBR PROP;CI;RBRP11;IFIL,IFIX;
FII RBRALPHA;CI;RBRF11;IFIL,IFIX;
FII RBRHGRAD;CI;RBRR11;IFIL,IFIX;
FII REC RECE;CI;RECR11;IFIL,IFIX;
FII REC REND;CI;RECT11;IFIL,IFIX;
FII RIOB FF;CI;RBFF11;IFIX;
FII RIOB RC;CI;RCRB11;IFIX;
FII RIOB VA;CI;RBVA11;IFIL,IFIX;
FII RIZA AKN;CI;RZAK11;IFIL,IFIX;
FII RIZA TX;CI;RZTR11;IFIL,IFIX;
FII SANT PAP;CI;SADI11;IFIX;
FII SANT REN;CI;SARE11;IFIX;
FII SDI LOG;CI;SDIL11;IFIL,IFIX;
FII SP DOWNT;CI;SPTW11;IFIX;
FII SUNOFOFI;CI;SNFF11;IFIL,IFIX;
FII TEL PROP;CI;TEPP11;IFIX;
FII TG ATIVO;CI;TGAR11;IFIL,IFIX;
FII TORDE EI;CI;TORD11;IFIL,IFIX;
FII TRX REAL;CI;TRXF11;IFIL,IFIX;
FII URCA REN;CI;URPR11;IFIL,IFIX;
FII VALOR HE;CI;VGHF11;IFIX;
FII VALORAIP;CI;VGIP11;IFIL,IFIX;
FII VALREIII;CI;VGIR11;IFIX;
FII VBI CRI;CI;CVBI11;IFIL,IFIX;
FII VBI LOG;CI;LVBI11;IFIL,IFIX;
FII VBI PRI;CI;PVBI11;IFIL,IFIX;
FII VBI REIT;CI;RVBI11;IFIX;
FII VECTIS;CI;VCJR11;IFIX;
FII VERS CRI;CI;VSLH11;IFIL,IFIX;
FII VINCI IF;CI;VIFI11;IFIX;
FII VINCI LG;CI;VILG11;IFIL,IFIX;
FII VINCI OF;CI;VINO11;IFIL,IFIX;
FII VINCI SC;CI;VISC11;IFIL,IFIX;
FII VOT LOG;CI;VTLT11;IFIX;
FII XP CRED;CI;XPCI11;IFIL,IFIX;
FII XP INDL;CI;XPIN11;IFIL,IFIX;
FII XP LOG;CI;XPLG11;IFIL,IFIX;
FII XP MACAE;CI;XPCM11;IFIX;
FII XP MALLS;CI;XPML11;IFIL,IFIX;
FII XP PROP;CI;XPPR11;IFIL,IFIX;
FII XP SELEC;CI;XPSF11;IFIL,IFIX;
FIRST SOLAR;DRN;FSLR34;BDRX;
FLEURY;ON   NM;FLRY3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
FOCUS ON;ON   NM;POWE3;IEEX,IGCX,IGNM,ITAG;
FORD MOTORS;DRN;FDMO34;BDRX;
FRAS-LE;ON   N1;FRAS3;IGCX;
FREEPORT;DRN;FCXO34;BDRX;
GAFISA;ON   NM;GFSA3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
GALAPAGOS NV;DRN;G1LP34;BDRX;
GE;DRN;GEOO34;BDRX;
GENERAL MOT;DRN;GMCO34;BDRX;
GENERALSHOPP;ON;GSHP3;ITAG;
GER PARANAP;PN;GEPA4;ITAG;
GERDAU;ON   N1;GGBR3;IGCX,ITAG;
GERDAU;PN   N1;GGBR4;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX;
